video_a,video_b,block,stratum,env_cos,env_chamfer,env_bhat_sim,env_raw,env_percentile_vs_negatives,verdict
25b18866-00e9-5220-ae3a-f8626c749bd0,c8b3712a-dc14-5789-950f-1a6a044c1c07,Other,same_session_distant,0.8863,0.6949,0.945,0.7994,100.0,SAME_ENV
25b18866-00e9-5220-ae3a-f8626c749bd0,e97fb279-55b6-5e27-b7a5-626d3f0e3bad,Other,same_site_diff_session,0.6911,0.5091,0.9041,0.632,100.0,SAME_ENV
25d8a18a-f11c-5acf-bdac-18abb5caf374,3ad3c180-cbb1-510b-a235-37718c00d0f5,Other,same_session_distant,0.8551,0.6589,0.9436,0.7703,100.0,SAME_ENV
25d8a18a-f11c-5acf-bdac-18abb5caf374,76d701a6-89e9-5fb2-9738-fd778c7afc7e,Other,same_session_distant,0.8569,0.6855,0.9356,0.783,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,31533fea-0789-5c61-a095-046e694eed27,Other,same_site_diff_session,0.8387,0.6023,0.9403,0.7358,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,4113eb7a-2c99-5b4d-ac16-913f679adeeb,Other,same_site_diff_session,0.8176,0.6195,0.937,0.7364,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,4daf8fb8-1909-5c6f-8e0c-c0f61822cc93,Other,same_site_diff_session,0.8328,0.601,0.941,0.7331,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,4f94773d-5d9d-5c77-98b5-2fb0b3b9fff6,Other,same_site_diff_session,0.7494,0.5497,0.9287,0.6764,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,50e82224-2f37-5a71-a4a7-9dfe1351f239,Other,same_site_diff_session,0.7263,0.4887,0.9258,0.6374,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,564eb16a-ccfe-5bf9-bad0-042cbf31feeb,Other,same_site_diff_session,0.8005,0.5955,0.9371,0.7185,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,59b76a7b-4864-572d-8c02-7bf9d6c82bb6,Other,same_site_diff_session,0.8618,0.595,0.947,0.7412,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,5cfc3276-8918-5b85-b3d9-f0db3ae92a3e,Other,same_site_diff_session,0.8168,0.6168,0.933,0.7342,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,6056389a-9403-5a02-a978-a51ff362ade4,Other,same_site_diff_session,0.8336,0.5783,0.94,0.7219,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,64d74e7f-bc61-5e2e-90f5-56fb929678e2,Other,same_site_diff_session,0.8913,0.6128,0.9579,0.762,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,689ccb45-d921-515b-bcc2-a4874a6aed14,Other,same_site_diff_session,0.8452,0.6143,0.9409,0.7441,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,987d9412-5479-5a6c-85ab-247018b595ce,Other,same_site_diff_session,0.7476,0.5685,0.8967,0.6804,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,9887aaaa-5d63-5f2d-84b9-aee7ff5e8294,Other,same_site_diff_session,0.8658,0.6138,0.9539,0.753,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,a1f2969f-530a-5e86-9d6f-f0999cdaed56,Other,same_site_diff_session,0.8192,0.566,0.9431,0.7112,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,a83bd186-d88e-57ca-9eb8-ce027f21ce36,Other,same_session_distant,0.888,0.63,0.9502,0.7684,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,b6aa2514-103f-5b96-8ce4-3a88ebefd3c1,Other,same_site_diff_session,0.7128,0.53,0.9265,0.6535,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,c285995e-4cd8-5166-badc-21bee24c3387,Other,same_site_diff_session,0.8191,0.5737,0.9388,0.7144,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,c43cf9fa-6f88-54d6-be70-0d6ede4e1246,Other,same_site_diff_session,0.8482,0.6166,0.9477,0.7473,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,e45457e4-c0f5-5d55-9bc4-dfef4c585259,Other,same_site_diff_session,0.8347,0.577,0.9475,0.7228,100.0,SAME_ENV
26912f97-cc83-5c2f-a2e7-686c6b3bf649,e97fb279-55b6-5e27-b7a5-626d3f0e3bad,Other,same_site_diff_session,0.823,0.5874,0.9428,0.7232,100.0,SAME_ENV
271935fe-131b-5911-9a07-551535e66e85,2a2240d7-bbad-5df4-8884-7f23cabe54d1,Other,same_site_diff_session,0.7195,0.6133,0.8556,0.6868,100.0,SAME_ENV
271935fe-131b-5911-9a07-551535e66e85,32292912-9b9e-52b2-bba2-73e8798af90b,Other,same_site_diff_session,0.6635,0.572,0.8315,0.6429,100.0,SAME_ENV
271935fe-131b-5911-9a07-551535e66e85,822a4bc2-b39b-57b0-8079-2a709d083544,Other,same_site_diff_session,0.6802,0.6256,0.8431,0.6773,100.0,SAME_ENV
271935fe-131b-5911-9a07-551535e66e85,d77f9170-128a-576c-aa05-98853e1fe4c0,Other,same_session_adjacent,0.848,0.7243,0.9017,0.7942,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,53ba4a7b-25c0-5c51-a977-4cb2cdafea87,Other,same_site_diff_session,0.9107,0.7377,0.8841,0.8202,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,6c1204e1-7691-5f1d-8aea-4428eb5619f3,Other,same_site_diff_session,0.8274,0.6576,0.8986,0.7532,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,8180724b-ba70-50b7-bd5d-42909a66a19a,Other,same_site_diff_session,0.852,0.6736,0.8783,0.7667,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,9b87161f-9e72-5674-894f-2960c03fe2be,Other,same_site_diff_session,0.793,0.6458,0.8644,0.7301,100.0,SAME_ENV
